顧客名,年齢,合計金額
ヲキエチ コミヲ,43,108138
ミカセコ ナン,52,108000
ソケ クヤコア,76,107800
オムクツ イユミ,21,107700
ミコ ニハヲ,45,107606
ヨミ ナエ,88,107400
ナユ シモ,64,107398
ユオヒス ヌニエオ,91,107327
ツマハ ミノミサ,74,107218
オフセヌ マヲモ,56,107200
ユオ カハ,44,107100
オンカハ メカミ,16,107100
クイヤヤ フア,26,107000
ユクアウ トヨニ,59,106900
モヲウシ イス,63,106900
フシホフ ワテア,81,106720
イホ オワエ,78,106606
ヌウウフ ホコケモ,67,106500
ワソヌ ムクコ,41,106400
シマフ アケ,82,106400
ナコカイ ナワ,36,106300
ニム コメテ,23,105825
ムオサ チヘ,99,105738
モエマタ ヨフアモ,82,105700
ヤハネカ モタイ,89,105522
ヲウスヌ クセ,53,105471
ミカア アチ,77,105400
ハイア フイニコ,38,105300
トキ カケ,39,105300
スエ ワケ,44,105087
タカセ スヒ,19,105000
チトカ ケメムセ,37,104979
ヲキ シツ,59,104900
ネタシイ ハメ,89,104900
アヘカシ エツエ,89,104900
ネヤ ヲミノ,63,104800
ツフキ ヒヲオヘ,52,104700
コアヒ ツスオ,84,104700
トネクス ケニ,17,104300
クツキ ンスミシ,68,104300
クツケハ ンマコ,21,104248
ヘニヒソ タヘソン,79,104000
メミモワ ケテヒ,98,103900
サタケ チホヨ,61,103880
コヤンホ ミヤテユ,41,103856
ヲモ ヤワ,97,103800
サワヒシ ヘエヤ,88,103500
キハヒソ キヒノケ,52,103487
ムソウキ シホサ,53,103400
セエテ ヌネセ,50,103400
メヒオ ツヨ,82,103350
ホナス オミホ,70,103323
ツツ ヒヒサ,77,103300
セヲ ムモキ,55,103300
シムニネ チオイ,21,103300
イフ ヤヤ,35,103300
フワメス ヘタアソ,49,103200
ヒケネ ニユアハ,59,103200
ウマツテ エシマ,71,103124
ヘフ アツ,77,103100
ネマオテ ヘアサ,67,102920
エヘユソ サキ,22,102800
ツケツ マキ,79,102700
ニホヲカ ホサ,86,102600
ニメマ ヘハユ,72,102152
ケケマ タシワ,87,102044
ヘコヲホ イシ,79,102000
マソテ オメユワ,35,101876
ウクヘナ ケハトン,94,101874
ヒユ マメチイ,87,101800
フイイメ ニケンム,97,101700
コタヤ ワモ,55,101666
ケアミ フマ,26,101373
キヌス モナメク,98,101342
イニ エエ,83,101300
ヒユ ウオチコ,24,101100
ハホ ハヒマヤ,53,101100
クエク ムツ,45,101100
エスソン マニム,32,101087
ムン ホシエソ,49,101002
ミクカ フサイユ,19,101000
ヌヒキ マチサワ,40,100861
テヒモホ タム,80,100800
ネンヨノ イヨサホ,37,100776
ケウ チツ,72,100735
アタヲ ワアハ,67,100727
イヨス エワ,42,100600
キク ミメ,86,100532
タケヒ アノキオ,18,100502
カカミワ ヘキヘカ,50,100500
ムモアヲ ワウ,39,100400
ヌムワア ケンサ,72,100300
テヘオ フンンハ,28,100278
イワチワ ニウホヒ,63,100225
クア チトウニ,44,100115
シヲカ タンヘ,94,100000
トシス フイ,69,99900
テユモヒ コヨニ,54,99771
ナナト ネニウ,59,99700
ントヨセ ヒノフイ,40,99600
ミハア ミチナエ,97,99500
アケミセ ヨヌ,65,99200
ハソヲシ ヒムワ,74,99100
キソニシ ハオ,71,99100
ンウワ ネツアホ,31,99000
ネチ ヨエネ,35,98900
ヒヌヌウ セチムケ,86,98700
トフウ ムハ,27,98700
オオ トイトカ,63,98700
ナチナ クミ,56,98555
シチン トヒヨ,98,98482
ンノ シテ,92,98300
カスコ ナコンナ,25,98203
ツヲミ ヒワアヤ,95,98100
ソヤカ ササオ,40,98100
タメ フネ,52,98000
オヒサキ エシマ,55,98000
カヌヲ コンエニ,92,97881
ミシネウ ニスノメ,95,97800
マヒフヤ チスヲ,52,97700
タヨセ ワヒ,67,97500
カヌキス ニワキ,19,97500
ウツ メアハ,83,97300
エメフ セトシオ,36,97200
ホソイヌ ニノサタ,31,97100
ホア ナケ,68,97100
シナイハ ケヤスモ,30,97100
シネセヒ マチマケ,28,97083
ヲカ イソクン,56,97028
ヘウモ トシネノ,89,96900
フタ ホイ,87,96900
サユスコ ツスキ,21,96840
ナオ ヒエカヤ,63,96829
チオネキ ウメマア,56,96800
ノヌサ メヘ,96,96700
イヒフ ハツホハ,45,96700
カサ コノノツ,44,96695
ニハツハ ンヌカヤ,22,96670
クヲ モオホ,83,96600
ヤヌ クチヒ,19,96572
テコ ケユナイ,99,96500
ネカユネ コミチ,58,96427
ツサキ テサ,76,96400
ヘケテネ シエイセ,60,96390
ンネ モモ,94,96315
スタフ トカ,87,96303
キノチ ナナハケ,64,96300
マソト スマネカ,83,96200
スヒヒ ソネカ,26,96179
ンテツオ セケ,39,96100
セモ コヘ,84,96100
モオ ヘタシ,30,96071
トカユミ オイ,41,96000
ウタツ イヲテ,73,96000
シナイ ノヨヲ,21,95873
ニタムノ マワネケ,43,95600
トソムシ キユ,30,95600
ウシク ホオ,64,95600
ヤニ ミヲ,36,95576
ノトカア サテ,86,95400
メステワ コチク,96,95282
ヘコン ムシカス,80,95244
ユテユミ ヘクタ,66,95200
ヨキメオ ヤニツヘ,44,95119
マメ ワソト,40,95112
オキ タフイ,93,95104
キネ ネセ,52,94957
ハワト ンナスイ,52,94900
ノナミ エニヘ,89,94900
エノコ クヤテ,72,94900
ミイア チヤ,92,94856
モオナモ ヤネ,91,94800
ツエメア ハフム,99,94800
キワエカ アサワ,39,94800
ノイケ チミス,94,94700
ユイ サオケ,19,94679
ミヤ ケテセ,30,94666
ウマホ フテソセ,47,94602
メヒニモ ノサ,87,94600
ンノ ネテツホ,75,94500
フサハ マミマ,22,94500
オハ ミノヒセ,80,94470
テミマニ ヲネ,95,94200
シヒクワ ツヘチ,28,94200
ネムヘノ ニホタホ,76,94100
ヌユン フウワメ,76,94100
ヤク ヤワヨモ,20,94066
ヨムワ ツモヒフ,32,94015
マトエフ ムヘ,92,93900
ムホモ ムワ,58,93800
クヨチカ ミハタ,15,93800
ンセ アスム,51,93700
トムクワ ツミホ,94,93700
フカ ハニスヒ,57,93500
ヒミヲホ トハスセ,33,93500
ムユニタ ヨフエ,67,93400
キクサ ケセミ,45,93400
タワ マヤス,75,93327
フクユソ モオンヤ,85,93300
テシホノ ケナテ,23,93300
タメタ エヨソ,92,93300
サテ ニヘ,82,93300
ソケヲモ ヲネス,18,93200
モワメ ナヤヒヲ,19,93126
ホチ セウメ,20,93100
サテウク ツソヲ,53,93100
ヲトコク セヌヘモ,60,93000
ニキ チモケ,49,92934
ソアワ ママタ,47,92900
クケ ヲヤ,18,92900
トヌウマ コス,60,92850
ソヨム アナハシ,45,92700
キヘコ ネハ,41,92700
ヒワヤネ ムヘアウ,23,92684
クコイヒ ケエツ,72,92606
クサク クソヌ,53,92600
ワハニフ ホオユン,38,92570
ヤアモム オヲンエ,44,92426
ヒイ ユク,33,92400
クオ フヘ,35,92400
イヤ ウネヤト,56,92400
ムナ トウ,81,92300
ヤアヲ ヨテ,70,92275
マイケサ ケマ,68,92200
サヨ カヨ,31,92200
ユサウ クケミ,33,92173
トトチス アスニワ,70,92100
コスキホ ノニムイ,90,92100
ミニユ ネシナソ,70,92099
チサンス ノウホフ,46,92030
ワナ ソチコ,73,91993
アケツ ヘムユノ,28,91968
ユカモ ヘフヨ,35,91900
ケミツユ ンシママ,50,91818
キスカ ワヤ,46,91800
オハト モオヨソ,77,91800
ノタモス ムヌホ,95,91600
ナエウ ムコキ,84,91600
クホ セムコ,84,91600
アヘテ ナヌユ,52,91600
モナソ コシ,66,91500
ネヨヌ ワトフノ,59,91500
ソナヲ クマヤコ,38,91500
エタカン ミセ,45,91470
ソヒン ソスヌ,49,91400
ヨタタフ サメマ,63,91393
ユニマム カワノン,97,91300
ノクユヤ ヌニシイ,66,91300
ケムア ナアユト,23,91300
メキヲ セノ,69,91200
ヘシサオ カナ,81,91100
ノカトチ ミヲケ,20,91100
タカヒ ノタア,71,91100
ケトソ ヘフト,63,91083
ンヲ ネスアコ,19,91000
ヲメヌテ シホ,50,91000
ヤチヲ クヨ,44,91000
モヨ メケ,56,91000
テスサ ヒワウ,21,91000
ナチツヨ ユム,62,90900
ヲニムヨ ハホサヤ,90,90877
ケタ ホノニ,24,90861
シホ ケハ,35,90800
ウマ ンハ,37,90698
キメ セヌ,76,90600
カソ ヘカン,73,90600
ユソモ オツ,67,90587
ナマコ セマヘ,16,90536
ツメコ カツムネ,39,90500
ワナノ クセカホ,44,90400
ヤテフマ エクオ,43,90400
タヘ サヲコネ,66,90400
イケサコ イタヌ,90,90336
ンホニ ヨシサウ,31,90224
フク アヒ,28,90200
ヌサチチ トナチ,24,90200
テユマ オナ,99,90200
ウカ モシモ,56,90200
ソネヨ スマウア,86,90100
ヘス ムニ,72,90080
シニオモ イキ,98,90027
ソマミソ ハク,80,90000
ヲアメ ワカン,62,89974
テキ トウイイ,64,89900
クユ アノ,41,89900
イヌタ シヲム,29,89900
コチウヨ メセ,43,89827
サヨフヌ フクム,92,89818
ネカヤ ヤン,53,89800
エシヨヲ ホカヘミ,73,89800
ハツソソ セキア,75,89776
メカフ トマネ,75,89700
ウア メサト,33,89700
ナメ テタシヲ,52,89600
ネンタム スセク,53,89531
ウウ クシココ,77,89400
ノテウワ エマヘノ,26,89300
ユンユ ンキ,24,89200
ナサセ チサネハ,80,89200
エウソ ナソ,60,89200
ニハサ ヲキ,51,89100
クヘユ スセイ,91,89100
ユホ フオヒユ,60,89013
トテモ コケウ,20,89000
コミニ クミフ,16,89000
ヲキマス ヲヤシテ,69,88953
フミサミ ハヨフ,65,88900
トオケ ワソノハ,85,88900
コヤ シスメ,77,88900
ウオヤト ワソソト,46,88900
エネ オン,26,88800
ソテヘ イヒキ,23,88700
ヌヲウ ナヲメ,46,88600
タムケ フモヘ,42,88500
ウイナ ネワモミ,99,88470
コノ ンサシ,86,88300
ヲエテニ ユソヤナ,24,88188
ユモヨヤ ミハ,66,88100
ナエ サカサホ,86,88100
テシ トン,58,88100
アヘト ハノ,45,88100
ツイウヨ チカコ,66,87946
ヘメヌヤ ヌマ,75,87900
トユチ ノワタ,17,87900
ムサア ホアヤニ,16,87855
ネコト セハトケ,88,87800
ミエヒ ヌワ,63,87731
ナヒヨヲ ホマ,39,87700
ムコトユ イン,86,87682
ヒクモ ムケヲミ,29,87600
ケムワン ケシキス,85,87588
ネフヒケ ネヲア,62,87587
モノヒ モヌト,28,87541
ンユナ ヤモ,19,87500
ヤテア ヨム,38,87500
ヤヲ シチオク,71,87358
ホサヘ テメン,96,87300
サワテ ヲヒテニ,48,87300
ンコ ヤクツヨ,61,87266
ヲトセ クコ,15,87262
ノキ クヘエヤ,53,87132
オク イヤトセ,23,87100
ワノ ヲホ,25,87000
エフ ツユ,49,86956
スヒ セコハ,85,86951
クウツモ メムツタ,38,86946
ニアタ ニネケ,58,86870
ムト スシ,50,86830
ワネシ タチコ,21,86800
メオワサ ヲシカニ,77,86700
タケ テヲ,99,86700
ナア ノノノハ,33,86671
アナオン ケユ,73,86600
ネクカノ クヤヒテ,55,86570
シユホメ ナユハ,60,86506
メソテ イアハサ,48,86500
マケセ ホアヨノ,91,86300
テヲオ ナヨソシ,40,86300
ヤト ユネク,90,86242
タシ エネメ,94,86200
キマ ヒワフソ,28,86200
ナキワ ヌソムネ,31,86185
マニオ ンソトヒ,37,86168
ウソス コヲ,77,86118
ワフスユ テシヘヌ,26,86100
ヘンチチ キヤヤ,46,86100
ネカキ タクヲ,44,86100
ユフホ ケヒケ,92,86000
ユスウ ヨスツム,25,86000
ハワオ ンコ,74,86000
ハエヌメ ソホエ,91,86000
ノフチ スネシサ,60,86000
カテンヒ ネト,44,86000
ノヲ ムエヒワ,76,85900
ニソハ ヲイ,26,85900
シソ ウヌ,14,85900
ワウメ ホヲハ,55,85800
ヤユ ヨウユ,24,85800
ホサ タタメ,22,85700
ソヌヘホ サト,64,85700
キエナ ンワ,43,85700
アヒ カユヲ,76,85700
ムヨ ハス,72,85652
イイツエ サト,76,85602
トオ ヘヘス,95,85600
ヨセユ セエ,78,85500
ヒサアヌ ソヌ,93,85500
テホミ ヒヌツフ,21,85500
ツネチ ンヤ,75,85500
タワナ ウフヲノ,38,85500
ヤワム フオサ,91,85400
ユサキ トホコ,97,85300
ヤン アサソ,56,85300
ムセヨ ヨシサヘ,22,85300
スト ヨム,84,85300
ココン アヤ,41,85200
カナ アコシ,74,85200
エム カヌイ,82,85163
ムワキ ヤチ,63,85124
アセハ カセヨ,51,85106
ネメノ オアネ,34,85100
ストア シウハ,48,85100
ホケヲン ヒハハ,25,85061
ヨワアヘ タアトホ,61,85000
オオイホ イヌサヌ,34,85000
エツカテ クヨウタ,48,84921
ヤミヌ メセフソ,95,84900
シチクネ エマメ,66,84900
ヲユシフ ノワ,70,84800
ユサ チワ,42,84800
メム ウン,73,84800
ヘセホワ ノヨキ,22,84800
ヒウホカ イキ,18,84800
コトメト イヨス,59,84800
オシエミ フマ,72,84800
ホメソ ンスシ,52,84700
ヘネ モヌフ,17,84700
ソンワ ノンヌ,64,84636
ツクト ミアナ,69,84610
ソネ ヘセヤヨ,55,84500
キソフ ナクイ,68,84500
カヘマヤ クヌモチ,29,84455
スモトユ ケネ,91,84400
イム ヨヘ,60,84400
アヤ ウメクハ,98,84400
ハワ ウアメ,40,84305
アエウノ サエ,49,84300
ヒク エヒワヌ,93,84200
エス キア,29,84200
ミモ トムマ,65,84100
シミ ミコ,17,84100
コフイホ ニヘサソ,92,84100
カマミツ ソテ,37,84086
フモ セユ,62,84000
シクハマ ワマ,32,84000
オイ ワハソヒ,37,84000
サシ アス,98,83961
ネヌトネ クテユコ,83,83900
アキヨヒ テミ,35,83900
モテマヌ アオフ,32,83800
ハネケ イソ,64,83800
フホマ テイ,82,83700
チイネウ コユハ,70,83700
セスウ ネノ,62,83677
フス ンサユホ,85,83641
ワヤイマ キウトス,21,83600
ワノフ ヤモ,96,83500
ヨハユ モオイフ,74,83500
ネカ エスオ,36,83500
エンイコ ワツヨム,92,83400
メメカ テホオ,67,83355
テタトヲ ソヲネユ,86,83268
ヨホマン ムイ,31,83211
ソキ スホユツ,78,83201
メムモ ハヘタユ,96,83200
ナケナソ ヘオ,16,83200
ウアオ サナ,43,83200
マスネ ンチネ,81,83131
マサヨ ツソユ,31,83100
フヨ ヲオエア,91,83066
テヌウサ ネト,80,83036
ンエツ セツキ,27,83000
ユヘタ セヘ,97,83000
モヲセト ミウネ,19,83000
ヒオ ニマハ,46,83000
ノヲイキ ミヲ,25,83000
トヨ フフ,50,82973
ヘミチ ワマホノ,95,82960
ニキ クケ,52,82902
ヘアヒカ ヌメ,30,82900
ヒンニム クホ,82,82900
ウンノヲ カテ,98,82900
ンミヘケ タホユ,34,82700
ウウ エホネ,60,82700
セスンイ ニホイテ,89,82681
ンウモ クサ,91,82600
セムトク ユテエヘ,29,82559
ネニユ セヌヨ,39,82518
ヤメ マノ,76,82508
ヘモ ヘヨコ,59,82500
ハタヲテ エム,75,82500
シオヌ ワホタヤ,59,82428
ヘカヘソ サホ,38,82413
カフ メトカキ,76,82400
ウシヨシ コミ,19,82400
フワ ヲン,97,82300
タトマ イニソチ,58,82200
コヒイエ エメカト,80,82200
ワテヲア ミシ,90,82156
メツ カチセシ,43,82100
スセケ フヤツ,44,82100
フマヌサ ナクク,72,82000
ンア カヨ,27,81983
ンウソ ヨマナ,39,81900
ムマセ ニヘコ,43,81900
スヌ クヒマ,66,81900
ワツ タヨ,26,81866
サシフノ ワホユヤ,41,81807
ヒキエサ キオハ,58,81800
オナク ハカス,49,81800
テセアウ ウマエ,98,81768
ヨワケン ンヒ,51,81700
コヲシマ ホコ,89,81700
イヤメ ヌオシヌ,54,81700
テカイ オテンイ,30,81600
エハヒナ ユト,15,81600
ネフ ケクホ,39,81500
サケサヘ ヲテン,33,81450
マヨハヤ ヲヌヤ,33,81430
ヲニネ ナヘタケ,16,81400
セキユ ケムサタ,59,81400
ユツワ ユフ,32,81382
ユテウフ クヤ,50,81351
フイクタ ケヲ,70,81348
ナニマ ツト,97,81321
ニトネ ヨウソオ,18,81303
ヘテシエ ヘフケ,84,81300
テノテマ ミク,25,81300
イミエ マム,23,81300
ネン ヤンヌ,33,81200
ナミヌ イカス,62,81200
ニサニ セヌヘ,50,81100
ツマセ ムタ,83,81100
シエサ ユチ,15,81050
ヒム ソツネ,64,81049
メヌシイ フカム,70,81000
シイヨイ ノニ,59,81000
メヒク キヲニ,54,80974
ケメヌチ キシヤソ,39,80969
ヌシワ エテ,47,80966
ハハ クワ,78,80900
カナハ マカトコ,20,80900
ネヒ メメニ,47,80898
マタム ヲユヨナ,97,80800
マアヤ サフネ,85,80800
ケヒヒ ウフタイ,78,80800
ワムチウ ハミシ,49,80700
ヤヘンケ タテツネ,85,80700
メム ウワヌエ,79,80700
ナナ メキオコ,78,80598
モウヲモ チフ,53,80584
ニヘク コツハ,94,80500
ニニテ ヌセコ,74,80500
クユフ ソフアマ,77,80500
キマツミ ムメ,24,80500
キネノ メツ,97,80500
ソヌ コヨ,70,80462
チチテヨ ヒワ,95,80457
ニン ンアサト,57,80340
ユヨエト モウヒカ,37,80300
ホキス ススヘワ,82,80300
ナサ オオミ,20,80300
ミエ セセオカ,90,80224
メン ワムマク,80,80200
ホカサミ スンヘモ,89,80200
ハミホ ワカ,61,80200
ニンオ アノサヨ,26,80200
ナク コスソ,74,80200
クネモフ ワハウチ,75,80200
イユ コヤヘ,68,80200
ツチヌ カエヲヌ,75,80158
スンアセ イオム,44,80138
ミチ オコキ,75,80100
サソ ヲヲ,88,80100
ユヤセナ ヘキ,83,80078
ノヒクオ アウスミ,18,80058
ワコ トヒツハ,42,80020
オモ タセ,61,80004
トホユメ テヌヤテ,23,80000
セサト チノオ,45,80000
コセア ケヤ,45,80000
ナマミ ワチキネ,47,79971
ハクタエ オキ,94,79900
ネセア ヤワキニ,75,79900
ニミ ヤモヌ,91,79860
ツウノ エセ,36,79805
ンヤサ テメチ,34,79800
モヨ ホミヲ,80,79800
フヨン サキヲコ,99,79800
トセヘエ ヲネ,17,79800
ソネ ユエメ,56,79734
アワトカ ノヨノ,75,79726
ミヨ ネメナヘ,57,79648
ノソネカ メシ,84,79644
ヘツ メアエ,30,79615
ワシメ ウマ,42,79600
ナニ ミハキト,51,79600
ツユ イノ,64,79600
ワネ ナモヨ,64,79500
ヲエネオ ハンネ,19,79400
ムヤフ ンサ,63,79400
チノカ オヲ,66,79386
チスイヒ ヤマサケ,29,79381
モハス シノス,68,79335
メコ シヲウ,73,79300
テツ カヨツ,28,79296
ケヨヘハ チワサ,51,79283
マオ クツクヒ,95,79258
タヌ ソヤ,20,79201
ホクヤ ユメオツ,74,79198
カミヨ サヘナ,34,79180
キマトク ヤクキサ,97,79131
シアカセ エナ,98,79129
ンエネ ソサ,78,79100
ヨカサ メム,77,79100
ユイア ヤス,51,79100
フヤタ マヨ,46,79100
ニヌ コツ,96,79100
ソオコア ノヤケエ,92,79100
サタシシ テヌ,93,79100
サソヘ タコア,40,79100
ウソ キヒマミ,81,79100
ツイワ モシイミ,23,79095
ヤヌ エユ,81,79000
ウカエ メモセタ,51,79000
アスハユ モアコ,75,79000
キノ コシンカ,53,78985
ネタナ モツ,80,78900
トチ エワン,29,78900
スイコ トコキ,78,78900
ニコ サヨ,94,78800
ネソ クハシツ,85,78754
ウマ カスイサ,45,78719
ミエヨム ヤスマヲ,89,78707
ヨクノ ナチネ,38,78700
ヌニンチ ノサナ,42,78700
シウ ヒネ,95,78677
ツエセ ケタツフ,16,78664
ホコ タユ,45,78622
フスコ ナマ,47,78600
オフンム セキ,73,78600
ナモ ヌモハ,45,78500
テケ シケツ,20,78500
ツナノワ シチチム,50,78500
クノ チナセワ,99,78500
ウヘ ウツ,15,78500
シス サムミ,88,78451
ヲシヒ イケツム,43,78400
ムイマ ミヲ,15,78400
チイ シノタ,81,78390
ンフ ヒト,68,78368
オンマホ ヲヲニ,36,78347
ホチソ モカン,24,78300
ホナカ アトチ,56,78251
ヲシカ ニコケ,52,78200
モアツ シナナ,67,78200
ナヘヒ テマセ,51,78200
コヲ ノヘサ,68,78200
ンチサ ユセ,37,78190
ニトト イホ,15,78156
ヲサ オミヨ,22,78100
ノホネネ マムテ,96,78100
チモホク コネサア,36,78100
スサン キヒソア,92,78100
キミトヲ ナヨ,94,78100
イアヘヤ セホエヤ,90,78074
ノユ ヌカ,91,78029
ヤシシ オケフ,37,78000
ナイ カマオチ,62,78000
シスアム ムエ,71,78000
カアコセ ヲイヘン,35,78000
ワキカア ミネノワ,23,77947
ソキ ササユム,24,77900
キヘ タテサ,98,77886
ヘクンカ ニムト,90,77858
ヲハ ヒホン,99,77848
ノニ オノナメ,25,77836
ミヒノソ ユナア,63,77800
ソム チナミワ,85,77800
オコエニ ツフエソ,65,77800
メスヲ チヲ,44,77799
ンユ エヨイホ,73,77768
ソナヤ ンマ,37,77738
ハユカ メタヤエ,29,77717
ハヒキテ ユモタ,95,77700
ノスタユ セイホ,45,77700
ヌオ ユヨン,27,77700
エシネ ホト,81,77700
イホ ヨケフ,53,77700
ムウナ ニカ,32,77600
ケネト オホム,85,77600
エケ メエ,63,77566
ツヲカウ エヒソ,16,77500
クシミ オヲナケ,76,77500
ホタオト ワアトミ,66,77481
シツモ ムテエイ,98,77466
イユウエ サヒホフ,90,77442
フサニ ソシハタ,43,77440
ツチ ソコメエ,92,77432
ステイユ ノン,96,77416
トスワス ウソ,45,77407
ワヒサ シヒヒ,97,77400
ホツ ミチソ,35,77400
ノホ テヨ,48,77400
シヌナ ユヲ,65,77400
コユウニ メチシヨ,33,77400
ウホ クネ,87,77400
イム ホツ,18,77400
ヘノヌコ ノタエン,24,77393
ウユメホ イイチ,24,77300
ヘネモ ソス,92,77275
メフ ナユモカ,64,77200
シキ トホ,91,77200
オスセ コチムマ,31,77140
ユチ ハヨキキ,81,77100
ヒンオモ オセヒ,89,77100
エハン ナクナユ,75,77053
ユキンン サケサウ,46,77037
ニニフセ アクウ,15,77000
エタカ エス,72,77000
ウスシ ナヤ,86,77000
ウクモキ ナハ,84,77000
セハヤ ナメ,71,76994
ツモ ヨス,28,76948
ミカニチ ニユネ,49,76900
ホシハ ユク,66,76900
テツヨセ ニア,94,76900
ムンム ウニ,27,76864
チミ ナムト,59,76843
ヒツハ イクウマ,85,76836
ノテ シヨヒ,55,76800
ニマカ セソ,86,76800
サミ ソチソワ,15,76800
ホムヌホ キネフヘ,18,76707
ンヲソコ ワス,45,76700
メン ヨクナ,61,76700
トオテ サセ,25,76700
オノ ニトケ,77,76700
ケカセ ユクン,50,76680
ソヘウ アコヒタ,77,76600
サホ ツマ,38,76600
ケノユキ シワ,99,76600
アメチヌ エケチ,22,76600
マウキ ユヤツ,54,76553
ミホ ハヒ,75,76500
ハウ ムク,77,76500
セナソ ヒモマ,88,76500
クスタ マム,35,76500
キヌ ホテクト,15,76500
ヒミヤ ヨキソ,28,76469
ワクン ヤス,74,76428
ヲコヘチ ナホノ,28,76400
マノヲセ セトハ,49,76400
ソワオサ イト,60,76400
イミニ トトツ,15,76400
ミス ケア,40,76389
ヤカ ソヲ,34,76379
アナヤ ヒテヤイ,69,76347
フフクユ クカ,40,76300
オサウノ ソツエサ,57,76300
ミテシウ スセタ,22,76284
サヘヤ イツテイ,30,76284
モタシス ムチメエ,53,76200
ホセ ネニ,58,76200
メトイ コヒ,44,76100
ノキワウ コチニ,49,76100
チカス ツフヌカ,17,76100
カエ シイチ,51,76100
アヘ キヌフ,41,76100
ムイ ヒイ,85,76079
チウカ アエタ,44,76042
ヤハヤイ テチマツ,54,76027
トソク ツテ,28,76023
ムフカ クオワノ,56,76000
ノシン カネヌ,37,76000
ネテノ ヒエ,31,76000
ツノ ハキフ,24,76000
タミキナ ニスサ,42,76000
カムヘア オテ,44,75947
マンミ チタカ,63,75900
イニテナ キフヤヒ,52,75900
ユヨキ コカウ,79,75814
メタノ トヤイ,69,75800
ハタ ミヤイヤ,66,75800
ネエ ヲサヲ,35,75800
シン タマ,88,75800
ウヒト ケタ,52,75800
ウセヨ ツウヒメ,26,75800
ナツテヤ ヤヲウ,87,75774
