名前,地区,年齢,合計金額,百円単位の四捨五入
ソフアマ クユフ,徳島県,77,80500,80500.0
ミシ ネコヤヒ,神奈川県,32,31800,31800.0
ヒサ ケサ,高知県,65,47900,47900.0
センヒヤ カヌアヌ,岩手県,51,28140,28100.0
チメ シネミ,愛媛県,93,30782,30800.0
ヲソ ソセヌモ,宮城県,19,40900,40900.0
モキ オホソ,新潟県,27,20900,20900.0
ウトシホ フヨ,香川県,84,39400,39400.0
ソタ ヘヨフ,群馬県,77,39500,39500.0
マツサイ ミヒアエ,岐阜県,63,31032,31000.0
フテハケ イアオマ,佐賀県,50,57000,57000.0
ヤスク コスタテ,宮城県,16,46900,46900.0
カヨ ヌクノホ,石川県,98,50000,50000.0
イフ ツハ,石川県,27,32757,32800.0
メマユ ステユ,長野県,44,40400,40400.0
マオ サワ,大阪府,98,22137,22100.0
チヒ ムメワ,静岡県,54,32400,32400.0
クサ ンウモ,兵庫県,91,82600,82600.0
ネツヒソ ワハム,長崎県,85,37100,37100.0
テシソネ ユコオ,宮崎県,28,67200,67200.0
テニクイ セツイヨ,鳥取県,18,20741,20700.0
ミホオホ イセコ,東京都,49,24135,24100.0
エエテ オナウヲ,茨城県,71,50207,50200.0
フセ サツナ,大阪府,23,32100,32100.0
ヘモ タヒケ,宮城県,67,20642,20600.0
ソヲタ ヌン,長野県,54,25923,25900.0
コオサ ヲカツム,秋田県,80,152682,152700.0
コヨニ テユモヒ,神奈川県,54,99771,99800.0
コマ ユヲ,大分県,15,53580,53600.0
ンヲニ ホヘモホ,愛知県,82,55100,55100.0
オメユワ マソテ,和歌山県,35,101876,101900.0
ホモ ミヌ,愛媛県,30,74900,74900.0
ヌセノ ケント,愛知県,54,68804,68800.0
マスス ヨカ,高知県,98,33106,33100.0
モトムヨ ホスヘ,宮城県,19,65800,65800.0
ケニ トネクス,島根県,17,104300,104300.0
チア ネシテ,奈良県,55,25300,25300.0
キオミサ ヘナセ,愛知県,93,49600,49600.0
アユエヤ ヨムコ,熊本県,60,39600,39600.0
セナ ハセナ,富山県,77,57090,57100.0
エヨンタ ノシトセ,富山県,72,32800,32800.0
モソマイ ナスネ,埼玉県,57,29400,29400.0
ユマコ ツソマコ,三重県,84,57900,57900.0
モフコワ ノヌ,和歌山県,34,51407,51400.0
ヌヒシ ナクハ,千葉県,75,162500,162500.0
マヲコ ヲウホ,東京都,50,44800,44800.0
コツム ツホ,沖縄県,78,44100,44100.0
ヲユケウ オス,山口県,83,21200,21200.0
タマ ニワヒヲ,鹿児島県,23,20900,20900.0
アワクン ヒソ,山形県,83,21352,21400.0
ノヨ ヲヤホ,千葉県,46,29815,29800.0
クワ ハハ,京都府,78,80900,80900.0
エマホ ツス,岩手県,44,49300,49300.0
ヤコ カクニ,山梨県,21,26700,26700.0
ホウ ウユヌム,長崎県,18,26200,26200.0
ヤヨマ ミナヲイ,山口県,52,56000,56000.0
アク ノシニフ,熊本県,69,35760,35800.0
モクキユ ニク,兵庫県,72,36785,36800.0
テフヨホ スノオ,埼玉県,83,63006,63000.0
キソトノ スムナチ,石川県,78,27400,27400.0
ネコ ナテモツ,愛媛県,91,20518,20500.0
マノミヲ エタタ,宮崎県,93,21724,21700.0
クカンニ ノスカ,長野県,76,20200,20200.0
ヌツ セセ,山梨県,15,73308,73300.0
ヲフ ハトキ,栃木県,90,60431,60400.0
ユヒコ フクネ,広島県,81,26325,26300.0
マカ チフナ,長野県,65,73000,73000.0
ユヘヨイ ヒウソ,滋賀県,65,33600,33600.0
セセフ チトヤ,兵庫県,85,59090,59100.0
ホウ ヨエワ,山口県,32,46400,46400.0
メモムネ オマ,宮城県,23,73600,73600.0
トニ ヲンヨソ,沖縄県,42,53800,53800.0
エソエマ セノイヨ,高知県,77,69200,69200.0
サエ アエウノ,茨城県,49,84300,84300.0
ヒク ヌサフ,長野県,78,71700,71700.0
ユケワ チサ,宮崎県,31,32100,32100.0
ンフス ツナ,静岡県,19,30600,30600.0
ノタエン ヘノヌコ,埼玉県,24,77393,77400.0
イキナ ケサツ,岩手県,87,50483,50500.0
ヌテ ンエヤ,愛知県,25,46700,46700.0
ウアフヘ ミアオユ,鹿児島県,85,23900,23900.0
ヌシヤク タヨヨ,長崎県,99,60663,60700.0
ホクウア セヲ,岡山県,75,58799,58800.0
チテネ アアヲナ,熊本県,51,49902,49900.0
ユニ クミヨチ,青森県,85,31627,31600.0
テハ ツソ,広島県,91,33400,33400.0
カコ セトハ,北海道,57,41000,41000.0
ヌチ ナウヨ,長野県,34,33271,33300.0
ミワヨハ ネナ,和歌山県,91,50578,50600.0
シネ モヒア,高知県,81,24570,24600.0
ムス ノニマ,和歌山県,31,21000,21000.0
カネキメ ンン,佐賀県,88,40751,40800.0
キカキ ヌエハホ,滋賀県,32,53600,53600.0
イエ イモキ,長野県,15,24800,24800.0
スワナ テチヒソ,京都府,24,65054,65100.0
マヌス モウカ,島根県,75,60449,60400.0
ノムモト ソエ,宮城県,16,56474,56500.0
ウマ ソクンワ,徳島県,22,43900,43900.0
サエヲ セセ,茨城県,30,24400,24400.0
トイカ ハカヒヤ,京都府,89,65600,65600.0
ニイヨマ ツマヘマ,富山県,27,27440,27400.0
ヌコフセ スチイシ,山梨県,81,40700,40700.0
コク ヤニヨ,茨城県,33,53200,53200.0
ケヲフ ヨオシウ,長野県,38,49500,49500.0
ムヲイ イメ,東京都,48,22330,22300.0
スイエ カノ,愛媛県,41,52700,52700.0
テヲカセ スネ,滋賀県,43,43152,43200.0
ヒチ エユ,秋田県,40,29161,29200.0
ヘウメウ ウモユ,山梨県,32,30900,30900.0
サミヤ ソワ,佐賀県,31,75374,75400.0
ユヘンヘ アチ,香川県,65,58282,58300.0
ヘノ フツ,香川県,73,24200,24200.0
ツヲヌ フヌニ,兵庫県,27,29160,29200.0
ミセメコ ンセハサ,栃木県,39,53900,53900.0
ヨヨモ ミヘ,宮崎県,32,26600,26600.0
カマヲ ハナ,青森県,32,24756,24800.0
ソモ トムハ,滋賀県,57,39830,39800.0
ウタキヘ ノナ,岡山県,31,46500,46500.0
ヘセヨモ セユキ,福岡県,25,23700,23700.0
テニハ マオナニ,新潟県,25,51101,51100.0
ンケヨニ エフヨマ,山形県,37,59178,59200.0
ミハ ユモヨヤ,沖縄県,66,88100,88100.0
フンサ ハエネコ,岩手県,61,38600,38600.0
セサノモ アチユヲ,山形県,76,40100,40100.0
イヨサホ ネンヨノ,宮崎県,37,100776,100800.0
メン ホヘコ,熊本県,84,33636,33600.0
トムス ヒヌオ,鹿児島県,76,48200,48200.0
ハムキン メツウ,長崎県,56,36800,36800.0
マニ スネテソ,山梨県,83,28136,28100.0
ツイ ヲヤニ,石川県,76,48400,48400.0
メトマ エクヤオ,福井県,88,22400,22400.0
ヲネ トセヘエ,京都府,17,79800,79800.0
ムナキウ クエニ,山形県,83,59062,59100.0
ヒテ ナムユン,茨城県,66,58600,58600.0
ヤカ ソヲメミ,埼玉県,69,36027,36000.0
スモミフ モハミユ,福島県,99,29800,29800.0
エトケウ ワヒ,山梨県,32,35600,35600.0
ニアヒ サム,大阪府,19,47000,47000.0
スハエ テク,佐賀県,15,39100,39100.0
クナキ トホチサ,秋田県,92,26900,26900.0
ムニ ユムキ,秋田県,92,45755,45800.0
スホ ハツテ,岐阜県,15,23400,23400.0
ンセユ モイケ,秋田県,19,61841,61800.0
ンヤソ コケ,宮城県,61,48874,48900.0
ニホオ テタサ,宮崎県,53,46376,46400.0
ホイタニ イモワテ,山口県,66,53970,54000.0
ワア ユケテ,岩手県,31,41964,42000.0
ネスキ ノカセ,和歌山県,81,68400,68400.0
サム ユスヌサ,大阪府,76,70500,70500.0
タヤア ニシヲ,青森県,62,50400,50400.0
ノヨヲ シナイ,山形県,21,95873,95900.0
ヒワミ ミメオオ,新潟県,76,57800,57800.0
ウホハ エウオヌ,愛媛県,37,40600,40600.0
トハセ ノキ,岡山県,84,52574,52600.0
メエ ケカイ,茨城県,66,32989,33000.0
ユニニ ハナキ,島根県,50,53100,53100.0
ノニ シイヨイ,長崎県,59,81000,81000.0
ヌケ コハホ,京都府,54,40500,40500.0
サムヒ ヤユユヌ,沖縄県,22,73300,73300.0
ウヘコ シフ,埼玉県,65,40900,40900.0
コテカ ナムユサ,大阪府,84,21102,21100.0
クイ ワオマテ,佐賀県,16,26131,26100.0
チントカ トヒ,徳島県,55,36553,36600.0
ワアトミ ホタオト,埼玉県,66,77481,77500.0
メセオ ウユ,大阪府,43,45300,45300.0
ヒミヘ サヲンク,福岡県,64,31800,31800.0
ワセ セマワオ,秋田県,74,41100,41100.0
チナ ヨヤ,茨城県,92,48344,48300.0
ココ ワメ,埼玉県,96,26500,26500.0
ツサユ オヌモ,愛媛県,26,65793,65800.0
イワ ヒソ,愛媛県,62,20400,20400.0
ンウメミ ウニ,栃木県,21,31500,31500.0
タオ ンエヘ,和歌山県,95,72700,72700.0
ソヒキ シノキ,静岡県,99,46900,46900.0
スソ ムメ,富山県,62,55166,55200.0
ウヲ サコケニ,新潟県,21,33993,34000.0
ミユ オイフ,広島県,59,23200,23200.0
コワ ナンタハ,沖縄県,98,66100,66100.0
ヨテニ モキ,宮城県,55,72300,72300.0
ヤヘセ キツメテ,群馬県,65,41400,41400.0
ンツコヲ ムエケソ,岡山県,24,26777,26800.0
タワ コイアヲ,青森県,46,26400,26400.0
ケソウ カメ,石川県,29,127220,127200.0
カヘ サノ,富山県,42,20500,20500.0
ネツ コキ,愛知県,45,28500,28500.0
アサヒソ メムニワ,岡山県,68,49500,49500.0
エムチ フヒマヨ,京都府,80,30400,30400.0
セサ クノヌ,兵庫県,32,22600,22600.0
ワワ ヌンヘホ,広島県,83,27000,27000.0
ヨヌメヒ ホヨケ,大阪府,73,28256,28300.0
チオニコ ムヌ,石川県,63,22752,22800.0
フフムホ アホセオ,北海道,33,55800,55800.0
ヲミ フケハ,京都府,66,63758,63800.0
モセホ モヨ,愛媛県,15,31684,31700.0
トセス ヨア,山形県,71,59700,59700.0
ヒスヤ テオネ,滋賀県,42,37631,37600.0
センイ ケヲ,埼玉県,44,23700,23700.0
マソヘコ ヒメヘユ,鹿児島県,57,70298,70300.0
サヤオム キンノヨ,奈良県,70,46800,46800.0
サテ ノトカア,奈良県,86,95400,95400.0
フア ウキ,滋賀県,58,43333,43300.0
メチセコ ホム,宮城県,80,53036,53000.0
カタアン セストモ,神奈川県,28,48300,48300.0
ヌスモユ ウヤ,富山県,90,45600,45600.0
テワ ミミフヤ,静岡県,57,54100,54100.0
ミウ ハニチオ,愛知県,58,41313,41300.0
ホモ ニサヨス,沖縄県,33,22630,22600.0
イアモ ヌナ,北海道,79,25100,25100.0
コフヨカ ムヲヨ,大阪府,24,61204,61200.0
エオ ヤホホテ,奈良県,15,47800,47800.0
ウイヲ ノアコミ,徳島県,47,119200,119200.0
ニアフニ イコユ,香川県,47,74832,74800.0
テニモ ヘフハサ,鳥取県,61,31284,31300.0
アノ ニメニマ,香川県,70,29270,29300.0
ニセテホ コウタ,山口県,45,27230,27200.0
ムクコ ムヘオ,神奈川県,63,54200,54200.0
シチチム ツナノワ,兵庫県,50,78500,78500.0
キヌイ ヤヒク,福井県,69,50900,50900.0
エヤソニ ケヤ,北海道,48,32741,32700.0
ンオ マヘハ,奈良県,21,39200,39200.0
セヌワ ムイヨ,千葉県,91,69300,69300.0
ヨウヲ ホヨ,福岡県,41,75139,75100.0
ナンタ トフ,鳥取県,37,41202,41200.0
エナエメ サチ,島根県,69,42400,42400.0
セオエ トヘ,長野県,50,128200,128200.0
ムシユサ ナヤケ,兵庫県,50,51529,51500.0
ムコウ ムタハ,千葉県,96,46600,46600.0
オム サクト,三重県,91,73036,73000.0
トナユ ミハニ,長野県,48,30000,30000.0
フミテ アモ,愛媛県,67,46900,46900.0
サムハコ ヤヲ,千葉県,62,64088,64100.0
クタ ユノ,愛媛県,16,51200,51200.0
ヲホ ネチマ,兵庫県,92,57900,57900.0
テカホ トネ,福島県,36,27239,27200.0
ンキ ユンユ,鹿児島県,24,89200,89200.0
ソヒ ヲムワイ,静岡県,84,31461,31500.0
ケニネセ ムシフモ,群馬県,50,27118,27100.0
コトナマ セヲウ,佐賀県,47,25000,25000.0
シカ ハケ,和歌山県,85,48100,48100.0
ニンヘシ サヒトテ,岩手県,62,65000,65000.0
カシア ユヒキニ,高知県,78,21571,21600.0
アヌス ウメキ,福島県,38,72106,72100.0
アヌサニ メムワテ,長崎県,79,41100,41100.0
ケタフ ヤチソ,沖縄県,71,59883,59900.0
コタヌ ユトカマ,沖縄県,62,37233,37200.0
モキヒハ ノヤヒカ,香川県,73,38600,38600.0
エテ ヌシワ,和歌山県,47,80966,81000.0
サナミ モチ,大阪府,70,60900,60900.0
ウクサ ヲホアム,千葉県,26,28159,28200.0
スシ カミ,香川県,78,53825,53800.0
トヤセア シヨムユ,高知県,20,24500,24500.0
ユエテヤ チキヘ,徳島県,44,33700,33700.0
サミ ヤニタノ,新潟県,34,34900,34900.0
セコハ スヒ,岐阜県,85,86951,87000.0
ハス ムヨ,千葉県,72,85652,85700.0
ワユク エク,大阪府,63,63500,63500.0
ヌアア オヤ,鳥取県,87,48400,48400.0
サメア トヨ,高知県,50,48900,48900.0
ナト ミオ,徳島県,70,42261,42300.0
ヤム ノクカク,和歌山県,59,21300,21300.0
サナナ オキチヤ,島根県,60,33500,33500.0
タマ キスヤ,熊本県,74,28906,28900.0
モフ ナノム,茨城県,60,34900,34900.0
セタ ノテン,栃木県,92,42180,42200.0
フヤキ ミス,和歌山県,67,67700,67700.0
セケメタ ノチ,千葉県,20,65500,65500.0
テヤミ カヤ,静岡県,93,65800,65800.0
シムユ ユエ,広島県,56,22585,22600.0
フノヲク イヤシ,愛知県,31,24542,24500.0
ケケクシ ハンタヒ,高知県,80,44900,44900.0
メフ ソケ,大分県,17,49100,49100.0
ヌナヤハ フトシシ,群馬県,88,108663,108700.0
コヲワモ シヨ,千葉県,57,33833,33800.0
ツナ コヲケサ,福井県,69,37203,37200.0
セハウウ メチ,高知県,26,45200,45200.0
タセ オモ,和歌山県,61,80004,80000.0
シフ フセ,兵庫県,98,42500,42500.0
キマホツ ヘンソノ,富山県,87,37903,37900.0
アタケ マホコ,山形県,70,59400,59400.0
タソ セモヘニ,岐阜県,94,51900,51900.0
ミハ ネミイテ,宮崎県,18,27420,27400.0
ミモ ヘン,青森県,83,32600,32600.0
マキユ ニメチ,東京都,89,26000,26000.0
ムシヲキ メソハヌ,鹿児島県,75,21957,22000.0
メワホ ヲカア,北海道,46,36800,36800.0
ツニカケ スヒニ,滋賀県,15,38200,38200.0
ケエツ クコイヒ,徳島県,72,92606,92600.0
チタカ マンミ,岐阜県,63,75900,75900.0
ヘク キクコヘ,福井県,87,73101,73100.0
ノン ノク,徳島県,78,34500,34500.0
ウオ ケノメシ,岩手県,63,43700,43700.0
フイニコ ハイア,愛媛県,38,105300,105300.0
アツチ ヒテ,愛知県,97,118029,118000.0
セニムコ クアチミ,群馬県,88,59000,59000.0
キムツ ワエ,山口県,35,50400,50400.0
チモ キノ,岩手県,83,30457,30500.0
ツナ ヨヌケ,秋田県,60,115600,115600.0
ヨコ ウトニオ,高知県,84,36700,36700.0
ムコハフ ケハヌ,山形県,18,55100,55100.0
ミエフツ イスシケ,山梨県,82,25900,25900.0
ツノメ エニミ,福井県,24,37300,37300.0
コンソヌ ソアケ,石川県,23,42000,42000.0
ネヘキト イヘシヲ,新潟県,52,28200,28200.0
コモヲア ヲヲキソ,鹿児島県,34,48400,48400.0
ハヘタユ メムモ,岩手県,96,83200,83200.0
ンテシ ソイム,愛媛県,73,24108,24100.0
ンエ ケヘホ,徳島県,76,65600,65600.0
ウヒヌマ イシ,鹿児島県,32,47300,47300.0
ワア ムコ,愛媛県,81,59812,59800.0
ヨワユト ヒケエヌ,千葉県,76,36872,36900.0
ノケ ンアン,宮崎県,42,28100,28100.0
ユモコヤ ヒホ,福島県,44,25515,25500.0
ミン ヒコマ,千葉県,23,36000,36000.0
ノケ テミ,沖縄県,22,57000,57000.0
カム スイナ,岐阜県,36,27700,27700.0
フケヤム ナヨム,高知県,94,38800,38800.0
ヨワ トアソフ,新潟県,27,37200,37200.0
モス イエトニ,山梨県,65,65000,65000.0
スヨ モユ,静岡県,88,66000,66000.0
ヘヌ アニ,北海道,67,35000,35000.0
モトン エニワ,岐阜県,88,63800,63800.0
シヤ フシ,青森県,24,23200,23200.0
ノタコオ タワ,三重県,75,66200,66200.0
アテエト ヤハ,山形県,43,29093,29100.0
ヲフイナ クミ,宮崎県,47,46200,46200.0
ユテキ アシヌク,高知県,49,57666,57700.0
タイヘツ ヘソ,滋賀県,34,66162,66200.0
ヘウヒ ホムヨ,広島県,67,30174,30200.0
テヌヤヘ スモメク,福岡県,16,42700,42700.0
ホヲ サケ,青森県,88,46100,46100.0
ヌマ ネス,京都府,44,30300,30300.0
コケ ヌウヲ,熊本県,74,64297,64300.0
ソヌト モヨフ,奈良県,86,50700,50700.0
ホヘサ テワタソ,和歌山県,89,25469,25500.0
カコソソ ワモハユ,香川県,39,45795,45800.0
ウクフエ オイネ,山口県,30,61400,61400.0
スホ スヒカ,静岡県,95,30821,30800.0
セマヘ ナマコ,大阪府,16,90536,90500.0
トヤユワ ステチ,新潟県,81,61931,61900.0
ムテエイ シツモ,宮崎県,98,77466,77500.0
ナクク フマヌサ,鹿児島県,72,82000,82000.0
ニトヤチ ソカチ,鹿児島県,65,59800,59800.0
ケイ ケオ,広島県,71,55700,55700.0
カサヒヘ ワケシヨ,徳島県,32,35200,35200.0
ハネ ニヘコイ,鹿児島県,34,56500,56500.0
タケ ムス,神奈川県,27,29919,29900.0
ヘクナ ナフス,滋賀県,44,66000,66000.0
マホム フン,熊本県,63,59381,59400.0
フスヌワ ハンスネ,大阪府,50,56200,56200.0
ソユ エムマヤ,長崎県,81,22700,22700.0
ササネツ チムホ,宮城県,45,49393,49400.0
ノセ ケツ,高知県,66,43800,43800.0
ユヌワヒ タタメ,福岡県,89,25900,25900.0
ウメシヲ ワネナ,島根県,50,74600,74600.0
ミテ ヤクオワ,静岡県,93,65900,65900.0
タサ モヒ,佐賀県,18,61200,61200.0
キセタ ククナ,宮崎県,59,27000,27000.0
ミアメ テヤ,福島県,97,24429,24400.0
チア ケコエヒ,青森県,54,51700,51700.0
キソタケ ウネセキ,石川県,31,56100,56100.0
スカタ キネンウ,群馬県,47,50400,50400.0
コチメ メハス,徳島県,82,48300,48300.0
オサホ ニコ,福井県,70,34577,34600.0
ホオヒヘ エシヘテ,岐阜県,24,60862,60900.0
ヘヘス トオ,熊本県,95,85600,85600.0
ンンワニ ケヌス,奈良県,26,41274,41300.0
ノノテウ ムアン,北海道,58,59900,59900.0
ネメテミ キニユ,秋田県,48,40200,40200.0
ヲヨ ヌノ,島根県,67,20700,20700.0
ヲケサヌ ニヲ,富山県,22,29600,29600.0
チヘエマ ノトケ,埼玉県,34,25907,25900.0
カソ ノタ,奈良県,33,44613,44600.0
セソサニ イタソセ,長野県,28,69900,69900.0
ケコ ウヘカカ,広島県,64,29500,29500.0
ヲオエア フヨ,千葉県,91,83066,83100.0
カワ クフハ,栃木県,22,61000,61000.0
ヲトミ サムモ,徳島県,20,61800,61800.0
ホウエナ ンテム,富山県,73,62000,62000.0
エヒ ムイ,群馬県,78,70500,70500.0
マトキ ホワサフ,福島県,46,60100,60100.0
ワヘ マハ,佐賀県,48,29618,29600.0
ニケ モケ,滋賀県,71,23700,23700.0
キツ ムエアア,香川県,97,43700,43700.0
ネメ サナナ,北海道,98,62100,62100.0
モコマタ ケウウ,和歌山県,18,49353,49400.0
テテメ ヲカト,岩手県,38,27200,27200.0
ワアユク ヤノキヘ,長野県,90,74200,74200.0
フムハ ワホミア,三重県,86,20200,20200.0
ハイ タン,富山県,37,40500,40500.0
マイコ ユタヤセ,鳥取県,64,35500,35500.0
セウメ エフス,岩手県,46,62740,62700.0
ナヲチコ ニミ,青森県,61,31748,31700.0
セヘマヘ ウヒ,鳥取県,33,21606,21600.0
フテソセ ウマホ,神奈川県,47,94602,94600.0
ヲカホ チミメ,東京都,47,31400,31400.0
セホクソ ヨカ,滋賀県,44,38600,38600.0
フヌツモ クヤア,三重県,24,30100,30100.0
ノヨナ ニソ,三重県,19,49100,49100.0
ニヌヌマ ワコタ,福岡県,99,65100,65100.0
ハメ ネタシイ,岡山県,89,104900,104900.0
チス ヒム,富山県,89,28100,28100.0
ナヤ ナメム,北海道,88,24300,24300.0
ヨメ シヨホカ,山梨県,23,39000,39000.0
ワニミハ ケヨ,佐賀県,88,26757,26800.0
テフスウ エソ,高知県,89,52740,52700.0
ナカイ トウエト,埼玉県,40,51700,51700.0
セウサ ヘスユユ,宮崎県,57,44000,44000.0
イサエチ タコユ,岡山県,61,50300,50300.0
クヨキ ウム,香川県,78,46030,46000.0
ハヒテイ キヌ,佐賀県,73,55300,55300.0
チオチヘ ソユ,佐賀県,82,50100,50100.0
テヤサ ヲマコ,群馬県,67,44517,44500.0
セメヲワ ヤサモ,佐賀県,54,44295,44300.0
コテヌ マフヲソ,大阪府,38,40200,40200.0
ナサ コヌユサ,岩手県,95,34288,34300.0
サモメ チコシノ,兵庫県,28,38636,38600.0
イヨセン ムミシク,広島県,46,55232,55200.0
ウアマ ネオノ,山形県,99,22406,22400.0
ワノヌシ スミ,熊本県,41,66776,66800.0
ネヤンシ ニサセ,熊本県,18,20100,20100.0
クマホ チイ,沖縄県,95,28016,28000.0
アミメ スクツヘ,山梨県,95,33700,33700.0
ニシモ ミキメワ,宮崎県,48,23800,23800.0
スヘケハ ソフヘネ,長野県,63,50300,50300.0
ホユ トフ,鳥取県,37,28964,29000.0
オソヘヒ タモヌア,広島県,44,71900,71900.0
セソオス クミホ,佐賀県,68,28800,28800.0
アナハシ ソヨム,愛媛県,45,92700,92700.0
ヤクムヘ ユホ,滋賀県,46,62511,62500.0
オス ヲムサヲ,岩手県,48,58200,58200.0
ヘオ ナケナソ,栃木県,16,83200,83200.0
テオタミ エアフヘ,滋賀県,36,20300,20300.0
セヲ マク,鳥取県,38,72011,72000.0
ソケ ケウヘ,栃木県,42,40344,40300.0
キノ ムマム,鹿児島県,49,66184,66200.0
ヌニエオ ユオヒス,鳥取県,91,107327,107300.0
トウイイ テキ,岩手県,64,89900,89900.0
ヨノヲオ クキ,奈良県,68,44700,44700.0
タミニ フクノ,福井県,86,129000,129000.0
ヨシム ソウカ,和歌山県,43,67200,67200.0
ウマ スマママ,香川県,53,25023,25000.0
オイ モモ,福岡県,43,58700,58700.0
スヨ イキオヨ,大阪府,95,43300,43300.0
コカウ ユヨキ,高知県,79,75814,75800.0
ミヨアエ ミノムイ,長野県,80,47100,47100.0
ミク ヌイイ,岐阜県,82,48567,48600.0
ワムアヒ オキワナ,京都府,94,68400,68400.0
ケセ オア,大分県,75,30025,30000.0
ンソテ メユヨ,滋賀県,86,35986,36000.0
キイケ スネト,北海道,84,44000,44000.0
ニウホヒ イワチワ,岐阜県,63,100225,100200.0
ニヌホ マタヘ,鹿児島県,83,25500,25500.0
ニニ ソタツコ,大分県,96,27700,27700.0
ササオ ソヤカ,兵庫県,40,98100,98100.0
シト ソヤネニ,愛媛県,69,20400,20400.0
ツソヲ サテウク,群馬県,53,93100,93100.0
ササ メアスカ,奈良県,70,63000,63000.0
ヲク カカ,石川県,58,40100,40100.0
サキヲコ フヨン,山梨県,99,79800,79800.0
タユオコ イユハエ,香川県,82,31749,31700.0
ワキハイ イチ,三重県,46,30740,30700.0
ミアケ ミテフオ,熊本県,86,42313,42300.0
ニニ ワソオ,栃木県,66,72700,72700.0
クオ トコカナ,大分県,75,29454,29500.0
ニトケ オノ,群馬県,77,76700,76700.0
シムケイ サノマス,岩手県,76,29900,29900.0
ヨヌ タセ,京都府,50,43900,43900.0
エサ ユホ,広島県,68,50400,50400.0
コミム ウカウ,栃木県,43,38935,38900.0
シハ ヒニ,青森県,47,52667,52700.0
エサ タチ,宮崎県,23,114800,114800.0
ンワ キエナ,岐阜県,43,85700,85700.0
モアン チチ,高知県,43,42900,42900.0
モフキヒ フイサヤ,和歌山県,31,37000,37000.0
クハタヘ サヲシ,山形県,85,33800,33800.0
ヲムヌ ソスユ,茨城県,51,42918,42900.0
ニモヒハ ヲイ,秋田県,86,35600,35600.0
サセ ナチ,京都府,75,39600,39600.0
